All,Tümü
"Overrides default titles and descriptions. Note that if an email template is not specified for this store view, the respective variable values will be deleted.","Varsayılan başlıkları ve açıklamaları geçersiz kılar. Bu mağaza görünümü için bir e-posta şablonu belirtilmediyse ilgili değişken değerleri silineceğini unutmayın."
"Emails and Labels","E-postalar ve Etiketler"
"Matched Customers","Eşleşen Müşteriler"
"Please correct the reminder rule you requested.","Lütfen, talep ettiğiniz hatırlatma kuralını düzeltin."
"You deleted the reminder rule.","Hatırlatıcı kuralı sildiniz."
"We can't delete the reminder rule right now.","Hatırlatma kuralını şimdi silemiyoruz."
"Reminder Rules","Hatırlatma Kuralları"
"Email Reminders","E-posta Hatırlatıcıları"
"New Reminder Rule","Yeni Hatırlatma Kuralı"
"You matched the reminder rule.","Hatırlatıcı kural ile eşleştiniz."
"Reminder rule matching error.","Hatırlatıcı kuralı eşleme hatası."
"You saved the reminder rule.","Hatırlatıcı kuralı kaydettiniz."
"We could not save the reminder rule.","Hatırlatıcı kuralı kaydedemedik."
"Minute Intervals","Dakika Aralıkları"
Hourly,Saatlik
"5 minutes","5 dakika"
"10 minutes","10 dakika"
"15 minutes","15 dakika"
"20 minutes","20 dakika"
"30 minutes","30 dakika"
for,için
"for greater than","daha büyük için"
"for or greater than","için veya daha büyük"
"Shopping cart is not empty and abandoned %1 %2 days and %3 of these conditions match:","Alışveriş sepeti boş değil ve %1 %2 gündür kullanılmıyor ve bu şartların %3 'ü eşleşiyor:"
"The root shopping cart condition should have a days value of 0 or greater.","Kök alışveriş sepeti koşulunun gün değeri 0 veya daha büyük olmalıdır."
"Total Amount","Toplam Tutar"
subtotal,"ara toplam"
"grand total","genel toplam"
"Shopping cart %1 amount %2 %3:","Alışveriş sepeti %1 tutar %2 %3:"
"Unknown quote total specified","Belirtilen toplam bilinmeyen fiyat"
"Numeric Attribute","Sayısal Özellik"
weight,ağırlık
"row weight","sıra ağırlığı"
quantity,adet
"base price","taban fiyat"
"base cost","temel maliyet"
"Item %1 %2 %3:","Öğe %1 %2 %3:"
"Unknown attribute specified","Bilinmeyen öznitelik belirtildi"
"Items Subselection","Öğeler Alt Seçimi"
"Coupon Code","Kupon Kodu"
"Shopping cart %1 a coupon applied","Alışveriş sepetine %1 kupon uygulandı"
"Cart Line Items","Sepet Satır Öğeleri"
"Number of shopping cart line items %1 %2:","Alışveriş sepeti satır öğelerinin sayısı %1 %2:"
"Item SKU %1 %2 ","Öğe SKU %1 %2 "
"The item was added to shopping cart %1, store view %2.","Öğe %1 alışveriş sepetine eklendi, %2 mağaza görünümü."
"not from",değil
"If an item is %1 in the shopping cart and %2 of these conditions match:","Bir öğe alışveriş sepetinde %1 iken bu koşulların %2 si eşleşirse:"
"Items Quantity","Ürün Miktarı"
"Total shopping cart items quantity %1 %2:","Toplam alışveriş sepeti öğesi miktarı %1 %2:"
"Virtual Only","Sadece sanal"
"Shopping cart %1 only virtual items","Alışveriş sepeti yalnızca %1 sanal öğeleri"
"The wish list is not empty and abandoned %1 %2 days and %3 of these conditions match:","İstek listesi boş değil ve kullanılmadı %1 %2 gün ve ve bu şartların %3 'ü eşleşir:"
"The root wish list condition should have a days value of 1 or greater.","Kök dilek listesi koşulunun gün değeri 1 veya daha büyük olmalıdır."
"Number of Items","Ürün Sayısı"
"Number of wish list items %1 %2 ","İstek listesi maddelerinin sayısı %1 %2 "
Sharing,Paylaşım
"Wish List %1 shared","İstek Listesi %1 paylaşıldı"
is," "
"is not"," (değildir) "
"The item was added to wish list %1, store view %2.","Öğe, alışveriş listesi %1'e eklendi, mağaza görünümü %2."
"If an item is %1 in the wish list and %2 of these conditions match:","Bir öğe %1 dilek listesinde ise ve bu koşulların %2 'si eşleşiyorsa:"
"Condition type is unexpected","Beklenmedik durum türü"
"Please specify a valid number of minute.","Lütfen geçerli dakika sayısını belirtin."
"Unable to save Cron expression","Cron ifadesi kaydedilemiyor"
"<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts","<b>Önemli</b>: Eğer ""Otomatik üretmeyi kullan"" seçeneğini seçerseniz, bu kural artık kullanılmayan sepetler için otomatik e-posta hatırlatıcısında kullanılmayacak"
"Validate error 1","Hatayı doğrulama 1"
"Validate error 2","Hata 2'yi doğrulayın"
"Promotion reminder at %store_name","Promosyon hatırlatıcısı %store_name 'de"
"Hurry up to take advantage of our %promotion_name promotion!","%promotion_name promosyonumuzdan yararlanmak için acele edin!"
"Hurry up to take advantage of this promotion!","Bu promosyonun avantajlarından yararlanmak için acele et!"
"To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a> and apply the coupon ""%coupon_code"" in the shopping cart.","Promosyondan yararlanmak için <a href=""%account_url"">%store_name</a> oturum açın ve alışveriş sepetine kuponunuzu ""%coupon_code"" kuponunuzu uygulayın."
"To take advantage of the promotion you need to sign in at <a href=""%account_url"">%store_name</a>","Promosyonun avantajlarından yararlanmak için <a href=""%account_url"">%store_name</a> adresinde oturum açmanız gerekir"
"This coupon can be used only up to %coupon_limit time(s) by you or other customers.","Bu kupon yalnızca siz veya diğer müşteriler tarafından %coupon_limit time(s) zamana kadar kullanılabilir."
"You can use this coupon up to %coupon_limit time(s).","Bu kuponu %coupon_limit time(s) ' a kadar kullanabilirsiniz."
"Promo Section","Promosyon Bölümü"
"Automated Email Reminder Rules","Otomatik E-posta Hatırlatma Kuralları"
"Enable Reminder Emails","Hatırlatıcı e-postaları etkinleştir"
Interval,Aralık
"Set this value equal or greater to your Magento cron job launch period.","Bu değeri Magento cron'unuzun işe başlama dönemine eşit veya daha yüksek olarak ayarlayın."
"Minute of the Hour","Saatin dakikası"
"Valid range: 0-59 (default 0).","Geçerli aralık: 0-59 (varsayılan 0)."
"Maximum Emails per One Run","Bir Çalıştırma Başına Maksimum E-posta Sayısı"
"Email Send Failure Threshold","E-posta Gönderme Hata Eşiği"
"Make sure to enter a limit value, or reminder emails will be re-issued to customers in a loop.","Bir sınır değeri girdiğinizden emin olun, veya hatırlatıcı e-postalar müşterilere döngüsel olarak tekrar gönderilecektir."
"Reminder Email Sender","Hatırlatıcı E-posta Gönderen"
"New Accounts","Yeni Hesaplar"
"Customers by number of orders","Sipariş Sayısına Göre Müşteriler"
"Customers by Orders Total","Sipariş Toplamına göre Müşteriler"
"Date Used","Kullanılan Tarih"
Period,Periyod
"Empty Rows","Boş Satırlar"
"Invalid date specified","Tarih seçimi hatalı"
"We can't find records for this period.","Bu dönem için kayıt bulamıyoruz."
"Show Reviews","Yorumları Bak"
"Products Report","Ürün Raporu"
Purchases,"Satın Almalar"
"Low stock","Düşük Stok"
"Products Ordered","Sipariş Edilen Ürünler"
"Most Viewed","En çok Görülen"
"Show Report","Raporu Göster"
"Refresh Statistics","Referans İstatistikleri"
"Customers Reviews","Müşterilerin Yorumları"
"Reviews for %1","%1 için değerlendirmeler"
Detail,Detay
"Products Reviews","Ürün Yorumları"
"Products Bestsellers Report","En çok Satılan Ürünler Raporu"
"Order Quantity","Sipariş miktarı"
"Coupons Usage Report","Kupon Kullanım Raporu"
"Price Rule","Fiyat Kuralı"
"Sales Subtotal","Kısmi satış toplamı"
"Sales Discount","Satış İndirimi"
"Sales Total",Toplam
"Total Invoiced vs. Paid Report","Toplam Fatura ve Tahsilat Raporları"
"Invoiced Orders","Faturalandırılmış Siparişler"
"Total Invoiced","Toplam Faturalanmış"
"Paid Invoices","Ödenmiş faturalar"
"Unpaid Invoices","Ödenmemiş Faturalar"
"Total Refunded Report","Toplam İade Raporu"
"Refunded Orders","Sipariş geri ödemeleri"
"Total Refunded","Toplam İade Edilenler"
"Online Refunds","Çevrimiçi arkadaşlar"
"Offline Refunds","Çevrimdışı arkadaşlar"
"Total Ordered Report","Toplam Sipariş Raporu"
"Sales Items",Ürünler
Profit,Kâr
Paid,Ödendi
"Sales Tax","Satış Vergisi"
"Sales Shipping",Teslimat
"Total Shipped Report","Toplam Teslimat Raporu"
Carrier/Method,Taşıyıcı/Yöntem
"Total Sales Shipping","Toplam Teslimat"
"Total Shipping","Toplam Teslimat"
"Order Taxes Report Grouped by Tax Rate","Vergi Oranına göre Gruplanmış Sipariş Vergi Raporu"
"Tax Amount","Vergi Tutarı"
"Abandoned carts","Terk Edilmiş Sepetler"
"Applied Coupon","Uygulanan Kupon"
"Products in carts","Sepetlerdeki Ürünler"
"Wish List Purchase","İstek Listesi Satın Alma"
"Wish List vs. Regular Order","İstek Listesi ve Düzenli Sipariş"
"Times Deleted","Silinmiş zamanlar"
"Index type is not valid","Dizin türü geçerli değil"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Son güncelleme tarihi: %1. son gün <a href=""%2"">istatistikleri</a> yenilemek için <a href=""%3"">tıklayın</a>."
"New Accounts Report","Yeni Hesapların Raporu"
"Customers by Number of Orders","Sipariş Sayısına Göre Müşteriler"
"Order Count Report","Sipariş Sayısı Raporu"
"Order Total Report","Sipariş toplam raporu"
"Downloads Report","Yüklenen raporlar"
"Low Stock","Düşük Stok"
"Low Stock Report","Düşük Stok Raporu"
"Ordered Products Report","Sipariş Verilen Ürün Raporu"
"Products Most Viewed Report","En çok Görülen Ürünler Raporu"
"Product Views Report","Ürün İzleme Raporu"
"An error occurred while showing the product views report. Please review the log and try again.","Ürün görüntüleme raporu gösterilirken bir hata oluştu. İşlemi kontrol edip tekrar deneyiniz."
Review,Yorum
Reviews,Yorumlar
"Customers Report","Müşteri Raporu"
"Customer Reviews Report","Müşteri değerlendirme raporu"
"Product Reviews Report","Ürün değerlendirme raporu"
"Product Reviews","Ürün Yorumları"
"Bestsellers Report","Çok Satanlar Raporu"
Coupons,Kuponlar
"Coupons Report","Kuponlar raporu"
"Invoice Report","Fatura Raporu"
"Refunds Report","Para iadeleri raporu"
"Sales Report","Satış Raporu"
"Orders Report","Sipariş Raporu"
"Shipping Report","Nakliye Raporu"
"Tax Report","Vergi Raporu"
"Abandoned Carts","Terk Edilmiş Sepetler"
"Customer Shopping Carts","Müşteri Alışveriş Sepetleri"
"Products in Carts","Sepetlerdeki Ürünler"
Statistics,İstatistikler
"No report code is specified.","Rapor kodu belirtilmedi."
"You refreshed lifetime statistics.","Yaşam boyu istatistikleri yeniledi."
"Recent statistics have been updated.","Son istatistikler güncellendi."
"We can't refresh recent statistics.","Son istatistikleri yenileyemiyoruz."
"The product type filter specified is incorrect.","Belirtilen ürün türü filtresi doğru değil."
"Order Taxes Report Grouped by Tax Rates","Vergi Oranlarına Göre Gruplanmış Vergi Raporu"
"Total Invoiced VS Paid Report","Toplam Tahsil Edilen Faturalar Raporu"
"Promotion Coupons Usage Report","Promosyon Kuponları Kullanım Raporu"
"Most Viewed Products Report","En çok Görülen Ürünler Raporu"
"Show By","Tarafından Gösteriliyor"
"Select Date","Tarih seçiniz"
"Customers that have Wish List: %1","Müşterilerin istek listesi: %1"
"Number of Wish Lists: %1","İstenilen liste sayısı: %1"
"Number of items bought from a Wish List: %1","İstek listesinden alınan ürünlerin sayısı: %1"
"Number of times Wish Lists have been shared (emailed): %1","İstek listelerinin kaç kez paylaşıldığı (e-postayla gönderildi): %1"
"Number of Wish List referrals: %1","İstek listesi tavsiyeleri: %1"
"Number of Wish List conversions: %1","İstek listesi değişimleri sayısı: %1"
"Show Report For:","Rapor Göster:"
"Products in Cart","Sepetteki Ürünler"
"Abandoned Cart","Terk edilmiş Sepet"
"Search Terms","Arama terimleri"
"By Customers","Müşterilere Göre"
"By Products","Ürünler Tarafından"
Refunds,İadeler
"Order Count","Sipariş Sayısı"
"Show for Current","Mevcutu Göster"
"Default Recently Viewed Products Count","Varsayılan En Son Gördüğünüz Ürünler Sayısı"
"Default Recently Compared Products Count","Varsayılan En Son Karşılaştırdığınız Ürünler Sayısı"
"Year-To-Date Starts","Yıl Başlangıcı"
"Current Month Starts","Ay Başlangıcı"
"Select day of the month.","Ayın gününü seçiniz."
"Stock Quantity","Stok Miktarı"
"Ordered Quantity","Sipariş edilen miktar"
"The report displays the top 5 most viewed products for each interval.","Rapor, her aralık için en çok görüntülenen 5 ürünü gösterir."
"For accurate reporting, be sure to refresh lifetime statistics whenever you change the time zone.","Doğru raporlama için, saat dilimini değiştirdiğinizde ömür istatistiklerini yenilediğinizden emin olun."
"Average (Approved)","Ortalama (Onaylı)"
"Last Review","Son Yorum"
"Order Created","Oluşturulan sipariş"
"Order Updated","Güncellenen sipariş"
"The Order Updated report is created in real time and does not require a refresh.","Sipariş Güncelleme raporu gerçek zamanlı olarak oluşturulur ve yenileme gerektirmez."
"Last Invoice Created Date","Son Fatura Oluşturulma Tarihi"
"Last Credit Memo Created Date","Son İade Kaydı Oluşturulma Tarihi"
"First Invoice Created Date","İlk Fatura Oluşturulma Tarihi"
"Refresh Lifetime Statistics","Bütün İstatistiği Güncelle"
"Are you sure you want to refresh lifetime statistics right now? This operation may slow down your customers' shopping experience.","Ömür boyu istatistikleri şu anda yenilemek istiyor musunuz? Bu işlem, müşterilerinizin alışveriş deneyimini yavaşlatabilir."
"Refresh Statistics for the Last Day","Son Gün İçin İstatistiği Yenile"
"Are you sure you want to refresh statistics for the last day?","Son günün istatistiklerini yenilemek istediğinizden emin misiniz?"
undefined,Tanımlanmamış
"Best Sellers Report","En Çok Satılanlar Raporu"
"Viewed Products Images and Names Template","Görüntülenen Ürünler Görüntüler ve İsimler Şablonu"
"Viewed Products Names Only Template","Görüntülenen Ürünler İsimler Sadece Şablon"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Ziyaretçi tarafından Karşılaştırmaya Eklenen ve Silinen Ürünlerin Listesi"
"Compared Products Images and Names Template","Karşılaştırılan Ürünler Görüntüler ve İsimler Şablonu"
"Compared Product Names Only Template","Yalnızca Şablonla Mukayese Edilen Ürün Adları"
"We can't specify a product.","Bir ürün belirlenemiyor."
"We can't configure the product right now.","Şu anda ürün yapılandırılamıyor."
"Invalid item option format.","Hatalı ürün seçeneği biçimi."
"Cannot specify product.","Ürün seçilemedi."
"Could not save",Kaydedilemedi
"Edit item","Ürünü Düzenle"
Copy,Kopyala
"Save Review","Yorumu Kaydet"
"New Review","Yorum Ekle"
"Review Details","Yorum Detayları"
"Product Rating","Ürün Puanı"
Nickname,"Takma Ad"
"Summary of Review","Yorum Özeti"
"Save and Previous","Kaydet ve geri"
"Save and Next","Kaydet ve ileri"
"Delete Review","Yorumu Sil"
"Edit Review '%1'","'%1' bir daha gözden geçirme düzenleme"
Administrator,Yönetici
Author,Yazar
"Summary Rating","Puan Özeti"
"Detailed Rating","Detaylı Puanlama"
"Update Status","Durumu Güncelle"
"Pending Reviews of Customer `%1`","`%1' Müşterisinin Tüm Yorumları"
"Pending Reviews","Bekleyen yorumlar"
"All Reviews of Customer `%1`","`%1' Müşterisinin Tüm Yorumları"
"All Reviews of Product `%1`","`%1' Ürününün Tüm Yorumları"
"All Reviews","Tüm Yorumlar"
"Product Store Name","Ürün depo adı"
"Manage Ratings","Puanları Yönet"
"Add New Rating","Yeni Puanlama Ekle"
"Save Rating","Puanlamayı Kaydet"
"Delete Rating","Puan Sil"
"Edit Rating #%1","Derecelendirmeyi Düzenle"
"New Rating","Yeni Puanlama"
"Rating Title","Puan Başlığı"
"Rating Visibility","Puan Görünümü"
"Is Active",Etkin
"Rating Information","Puan Bilgisi"
"Pending product review(s)","Bekleyen Ürün Yorumları"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Ürün: <a href=""%1"" target=""_blank"">%2</a><br/>"
"Summary of review: %1 <br/>","İncelemenin özeti: %1 <br/>"
"Review: %1 <br/>","İnceleme: %1 <br/>"
"Store: %1 <br/>","Mağaza: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","İncelemeyi görmek için <a href=""%1"">buraya</a> tıklayın."
"Product: ""%1"" reviewed by: %2","Ürün: ""%1"" tarafından incelendi: %2"
"Pending Reviews RSS","Bekleyen Yorumlar RSS Akışı"
"Reviews %1","İncelemeler %1"
"The review has been deleted.","İnceleme silindi."
"Something went wrong  deleting this review.","Bu inceleme silinirken bir şeyler ters gitti."
"Customer Reviews","Müşteri Yorumları"
"Edit Review","Yorumu Düzenle"
"We can't retrieve the product ID.","Ürün kimliğini alamıyoruz."
"Please select review(s).","Lütfen yorumları seçiniz."
"Something went wrong while deleting these records.","Bu kayıtları silerken bir şeyler ters gitti."
"Something went wrong while updating these review(s).","Bu inceleme(ler) güncellenirken bir şeyler ters gitti."
"You saved the review.","Yorum kaydedildi."
"Something went wrong while saving this review.","Bu inceleme kaydedilirken bir şeyler ters gitti."
"The review was removed by another user or does not exist.","Yorum başka bir kullanıcı tarafından silindi veya bulunamadı."
"You deleted the rating.","Derecelendirmeyi sildiniz."
Ratings,Puanlamalar
"You saved the rating.","Ayarları kaydettiniz."
"My Product Reviews","Ürün Yorumlarım"
"Cannot initialize product","Ürün başlatılamıyor"
"You submitted your review for moderation.","Yorumunuzu moderasyon için gönderilmiştir."
"We can't post your review right now.","İncelemenizi şu anda yayınlayamıyoruz."
"Storage key was not set","Depolama anahtarı ayarlanmadı"
Approved,Onaylandı
"Not Approved",Onaylanmadı
"Please enter a review summary.","Lütfen bir inceleme özeti girin."
"Please enter a nickname.","Lütfen bir kullanıcı adı girin."
"Please enter a review.","Lütfen bir inceleme girin."
"Rating isn't Available","Puanlama kullanılabilir değil"
"Please specify a rating title for a store, or we'll just use the default value.","Lütfen mağaza için bir derecelendirme başlığı belirtin, yoksa varsayılan değeri kullanacağız."
"Assigned Options","Atanan Seçenekler"
"Option Title:","Seçenek Başlığı:"
Rating,Değerlendirme
"You have submitted no reviews.","Yorum eklemediniz."
"My Recent Reviews","Geçmiş Yorumlarım"
"View All","Hepsini Göster"
"Average Customer Rating:","Ortalama Müşteri Puanı:"
"Your Review",Yorumunuz
"Submitted on %1","Gönderilme zamanı %1"
"Back to My Reviews","Yorumlarım Sayfasına Dön"
"Ratings Review Summary","Değerlendirmeler Değerlendirme Özeti"
"Be the first to review this product","Bu ürünü ilk yorumlayan siz olun"
"Write Your Own Review","Kendi Yorumunuzu Yazın"
"You're reviewing:",Yorumunuz:
"Your Rating",Değerlendirmeniz
"Submit Review","Yorum Gönder"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Sadece kayıtlı kullanıcılar değerlendirme/yorum yazabilir. Lütfen, <a href=""%1""> giriş yapın </a> veya <a href=""%2""> Hesap Açın</a>"
"Add Your Review",Değerlendirmeniz
"%1 Review(s)","%1 Yorum"
"Review by","Tarafından incelenen"
"Posted on",Yayınlanan
"Back to Main Product Info","Ürüne Geri Dön"
"Average Customer Rating","Ortalama Müşteri Puanı "
"Product Rating:","Ürün Puanı:"
"Product Review (submitted on %1):","Ürün yorumu (%1 gönderilmiş):"
"Back to Product Reviews","Ürün Yorumlarına Dön"
"Please select one of each of the ratings above.","Lütfen yukarıdaki seçeneklerden birini seçiniz."
"Allow Guests to Write Reviews","Misafirlerin Yorum Yazmasına İzin ver"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Sadece kayıtlı kullanıcılar değerlendirme/yorum yazabilir. Lütfen, <a href=""%1""> gir</a> or <a href=""%2""> Hesap Açın</a>"
"Reward Points History","Ödül puan geçmişi"
"Expired reward","Süresi dolmuş olan ödül"
"No Data","Veri Yok"
"Currency Amount","Döviz Tutarı"
"Reward Points Threshold","Ödül puan eşiği"
"Reward Points Cap","Ödül Puanları Başlığı"
"Delete Orphan Points","Yetersiz Olan Noktaları Sil"
"Update Reward Points Balance","Ödül Puanları Bakiyesini Güncelle"
"Update Points","Puanları Güncelle"
"Enter a negative number to subtract from the balance.","Bakiyeden çıkarmak için negatif bir sayı giriniz."
"Reward Points Notifications","Ödül puan bildirimleri"
"Subscribe for Balance Updates","Bakiye Güncellemeleri için Abone Olun"
"Subscribe for Points Expiration Notifications","Puanların Süre Sonu Bildirimleri için Abone Olun"
"Reward Exchange Rates","Kur Farkı Ödülleri"
"Add New Rate","Yeni Oran Ekle"
"Edit Reward Exchange Rate","Kur Farkı Ödüllerini Düzenle"
"New Reward Exchange Rate","Yeni Kur Farkı Ödülü"
"Reward Exchange Rate Information","Kur Farkı Ödül Bilgileri"
Direction,Açıklama
"Use your reward points; %1 are available.","Ödül puanlarınızı kullanın; %1 kullanılabilir."
"This applies only to registered users and may vary when a user is logged in.","Bu, sadece kayıtlı kullanıcılar için geçerlidir ve bir kullanıcı oturum açtığı zaman değişebilir."
"You removed the orphan points.","Yetersiz puanları çıkardınız."
"Manage Reward Exchange Rates","Kur Farkı Ödüllerini Yönetin"
"You deleted the rate.","Oranı sildiniz."
"You saved the rate.","Oranı kaydettiniz."
"We can't save this rate right now.","Bu değerlendirmeyi şuanda kaydedemiyoruz."
"Please enter all rate information.","Lütfen tüm oran bilgilerini giriniz."
"Please enter a positive integer number in the left rate field.","Lütfen, sol oran alanına pozitif bir tam sayı giriniz."
"Please enter a positive number in the right-side rate field.","Lütfen, sağ-taraf oran alanına pozitif bir sayı giriniz."
"Please enter a positive integer number in the right-side rate field.","Lütfen, sağ-taraf oran alanına pozitif bir tam sayı giriniz."
"Please enter a positive number in the left-side rate field.","Lütfen, sol-taraf oran alanına pozitif bir sayı giriniz."
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.","Üzgünüz, ama aynı internet sayfası, müşteri grubu ve açıklaması veya kaplama oranı için bir oran zaten mevcut."
"You removed the reward points from this order.","Bu siparişten ödül puanlar kaldırıldı."
"Reward points will not be used in this order.","Ödül puanlar bu siparişte kullanılmayacaktır."
"You saved the settings.","Ayarları kaydettiniz."
"You can't unsubscribed right now.","Şu anda abonelik kaydınız silinemiyor."
"%1 Reward points (%2)","%1 Ödül puanları (%2)"
"%1 Reward points","%1 Ödül puanları"
"Updated by moderator","Moderatör tarafından güncellendi"
"Refunded from order #%1","Siparişe yapılan geri ödeme #%1"
"Points voided at order #%1 refund.","Puanlar iptal edilerek #%1 siparişe geri ödeme yapıldı."
"The invitation to %1 converted into a customer.","%1 daveti müşteriye dönüştürüldü."
"The invitation to %1 converted into an order.","%1 daveti siparişe dönüştürüldü."
"Signed up for newsletter with email %1","E-posta %1 haber bülteni için kayıt"
"Redeemed for order #%1","Sipariş için amorti eden #%1"
"Earned points for order #%1","Siparişten kazanılan puanlar #%1"
"Reverted from incomplete order #%1","Tamamlanmamış siparişten geri döndürülen #%1"
"Registered as customer","Müşteri olarak kayıt olundu"
"For submitting a product review","Bir ürün görünümü göndermek için"
"Earned promotion extra points from order #%1","Siparişten kazanılan ekstra tanıtım puanları #%1"
"%1 store reward points available (%2)","%1 mağazada kullanılabilir ödül puanları (%2)"
"%1 store reward points available","%1 mağazada kullanılabilir ödül puanları"
"%1 was deducted because of refund.","Geri ödeme nedeniyle %1 mahsup edildi."
"The action ID you enter must be a number.","Girdiğiniz eylem kimliği bir sayı olmalıdır."
"You don't have enough reward points to pay for this purchase.","Bu satın almayı ödemek için yeterli ödül puanınız yok."
"Points to Currency","Para Birimi için Puanlar"
"Currency to Points","Puanlar için Para Birimi"
Each,"Her bir"
First,İlk
"""Minimum Reward Points Balance"" should be either a positive number or left empty.","""Minimum Ödül Puanları Bakiyesi"" pozitif bir sayı olmalıdır veya boş bırakılmalıdır."
"""Cap Reward Points Balance"" should be either a positive number or left empty.","""Minimum Ödül Puanları Bakiyesi"" pozitif bir sayı olmalıdır veya boş bırakılmalıdır."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""En az ödül puanı denge"" ""Cap ödül puan bakiyenize"" eşit veya daha az olmalıdır."
"Customer earned promotion extra %1.","Müşteri %1 ekstra promosyon kazandı."
"The customer earned %1 for this order.","Bu sipariş için müşteri %1 kazandı."
"Reward Points Balance","Ödül Puanları Bakiyesi"
"upper boundary","üst sınır"
"Refund Reward Points","İade Edilen Ödül Puanları"
"Reward Points refunded to customer","Müşteriye iade edilen Ödül Puanları"
Points,Puanlar
"Expires on %1","Bitiş Tarihi %1"
"There is no balance history.","Bakiye geçmişi yok."
"Reward points balance Information","Ödül Puanları Bakiye Bilgisi"
"Your balance is %1.","Bakiyeniz %1 'dir."
"Current exchange rates:","Güncel kur farklılıkları:"
"%1 spent = %2 earned","%1 harcanan = %2 kazanılan"
"Balance limit is %1.","Bakiye limiti %1 'dir."
"Maximum balance is reached","Maksimum bakiyeye ulaşıldı"
"Minimum Balance in order to redeem: %1.","Ödeme yapmak için sipariş içindeki Minimum Bakiye: %1."
"You need a higher balance to use your rewards points.","Ödül puanlarınızı kullanmanız için daha yüksek bir bakiyeye ihtiyacınız var."
"Each earned reward points award expires in %1 days.","Her kazanılan ödül puan ödül %1 gün içinde sona eriyor."
"Refer to reward points history to see when a specific record expires.","Belirli bir kaydın ne zaman sona ereceğini görmek için ödül puanı geçmişine bakın."
"Email Notification Settings","E-posta Bildirim Ayarları"
"Save Subscription Settings","Abonelik Ayarlarını Kaydet"
"Reward Points Balance Updated at %store_name","Ödül Puanları Bakiyesi %store_name 'de güncellendi"
"You have %points_balance points that may be used in our store:","Mağazamızda kullanılabilecek %points_balance puanınız var:"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","Bu bildirimlerin <a href=""%unsubscription_url"">aboneliğinden çıkın</a>."
"Reward Points Expiry Warning at %store_name","%store_name 'de Ödül Puanları Vade Uyarısı"
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","%points_expiring ödül puanınızı kullanmak için %remaining_days gün kaldı."
"After %remaining_days day(s) these points will expire.","%remaining_days gün(ler) sonra bu puanların süresi dolacaktır."
"You have a total of %points_balance points that may be used in our store:","Mağazamızda kullanılabilecek toplam %points_balance puanı var:"
"Reward points","Ödül puanları"
"Use reward points","Ödül puanlarını kullan"
"Your reward point was successfully applied","Ödül puanınız başarıyla uygulandı"
"Manage Reward Points Balances","Ödül Puanı Bakiyelerini Yönetme"
"Can Spend Reward Points","Ödül Puanlarını Harcayabilir mi"
"Enable Reward Points Functionality","Ödül Puanlarının İşlevselliklerini Etkinleştir"
"Enable Reward Points Functionality on Storefront","Mağaza Önünde Ödül Puan İşlevini Etkinleştir"
"Customers May See Reward Points History","Müşteriler Ödül Puanları Geçmişini Görebilirler"
"Rewards Points Balance Redemption Threshold","Ödüller puanlar bakiye iadesi eşiği"
"An empty value disables this limitation.","Boş bir değer bu sınırlamayı devre dışı bırakır."
"Cap Reward Points Balance At","Kapak Ödül Puanları Dengesi"
"Reward Points Expire in (days)","Ödül Puanı geçerlilik süresi (gün)"
"Reward Points Expiry Calculation","Ödül Puanları Vade Hesaplama"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Statik"", son kullanma tarihini denge arttıkça tam olarak tanımlar. ""Dinamik"" in son kullanma tarihi yoktur, ancak bakiye sonlandırma kontrolü yapıldığında hesaplar."
"Refund Reward Points Automatically","Ödül Puanlarını Otomatik Olarak Geri Ödeme"
"Deduct Reward Points from Refund Amount Automatically","Ödül Puanlarını Geri Ödeme Tutarından Otomatik Olarak Düş"
"Actions for Acquiring Reward Points by Customers","Aksiyonlar Müşterilere Göre Ödül Pusulalarını Edinme"
Purchase,"Satın alma"
"Added for spent money according to reward exchange rates.","Kur farkı ödüllerine göre harcanan para için ilave edildi."
Registration,Kayıt
"Newsletter Signup","Bülten aboneliği"
"Only for customers who subscribe for the first time.","Yalnızca ilk kez abone olan müşteriler için."
"Converting Invitation to Customer","Daveti Müşteriye Dönüştürme"
"Invitation to Customer Conversions Quantity Limit","Müşteri Dönüşümleri Miktar Sınırı için Davet"
"Converting Invitation to Order","Daveti Siparişe Dönüştürme"
